data_pedido,categoria,preco_unitario,quantidade,regiao,canal_marketing,avaliacao
2024-01-01,Acessórios,36.2,1,Sudeste,Instagram,3.3
2024-01-01,Acessórios,122.61,5,Sudeste,Orgânico,4.4
2024-01-02,Acessórios,151.19,4,Sul,Google Ads,4.6
2024-01-03,TVs,3399.16,2,Sudeste,Google Ads,4.1
2024-01-04,Smartphones,3180.94,2,Nordeste,Instagram,3.9
2024-01-04,TVs,2844.76,2,Sul,Orgânico,3.7
2024-01-05,Áudio,849.65,4,Centro-Oeste,Google Ads,3.9
2024-01-06,Áudio,276.95,4,Nordeste,Google Ads,3.9
2024-01-08,Smartphones,1914.49,1,Nordeste,Orgânico,4.4
2024-01-08,Áudio,440.52,5,Sudeste,Orgânico,5.0
2024-01-08,Acessórios,249.35,5,Sul,Instagram,4.3
2024-01-09,Áudio,677.96,1,Sudeste,Instagram,5.0
2024-01-09,Acessórios,95.41,4,Sudeste,Orgânico,4.2
2024-01-10,TVs,3191.5,2,Sudeste,Google Ads,4.2
2024-01-11,Áudio,1008.84,3,Sul,Orgânico,4.0
2024-01-13,Notebooks,5834.39,2,Sudeste,Orgânico,4.3
2024-01-13,Smartphones,4782.76,2,Sudeste,Google Ads,3.9
2024-01-13,Smartphones,2668.13,2,Sul,E-mail,4.1
2024-01-13,Smartphones,2704.69,2,Norte,Google Ads,4.5
2024-01-13,Acessórios,115.05,3,Sul,Instagram,4.0
2024-01-13,Smartphones,1699.13,1,Sul,Orgânico,3.8
2024-01-14,Acessórios,56.6,4,Nordeste,Instagram,3.6
2024-01-15,Áudio,1357.65,1,Sul,Google Ads,4.3
2024-01-15,Acessórios,241.21,4,Sudeste,Orgânico,3.4
2024-01-15,Acessórios,135.96,5,Sudeste,Orgânico,5.0
2024-01-16,Acessórios,66.9,1,Centro-Oeste,Orgânico,2.9
2024-01-17,Acessórios,205.83,5,Sul,Google Ads,5.0
2024-01-18,Áudio,1447.78,1,Sul,Google Ads,5.0
2024-01-18,Smartphones,2256.03,1,Nordeste,E-mail,4.6
2024-01-19,Acessórios,64.6,1,Nordeste,Orgânico,3.1
2024-01-20,Acessórios,193.21,4,Centro-Oeste,Orgânico,2.9
2024-01-21,Áudio,1213.41,1,Norte,Instagram,4.4
2024-01-21,Notebooks,3493.16,1,Sudeste,Google Ads,4.0
2024-01-22,Smartphones,3355.79,2,Sudeste,E-mail,4.6
2024-01-22,Notebooks,2785.84,2,Sudeste,Instagram,4.6
2024-01-22,Acessórios,115.67,1,Sudeste,Google Ads,4.5
2024-01-22,Áudio,1193.31,4,Sul,Instagram,4.3
2024-01-23,Smartphones,3545.19,1,Norte,E-mail,4.4
2024-01-23,Acessórios,224.58,4,Centro-Oeste,Orgânico,3.4
2024-01-24,Acessórios,163.42,5,Sudeste,Google Ads,3.7
2024-01-24,Acessórios,202.25,4,Sudeste,Orgânico,3.8
2024-01-24,Áudio,942.53,2,Centro-Oeste,Google Ads,4.2
