data_venda,categoria_produto,tamanho,preco,quantidade,estado,forma_pagamento,nota_avaliacao
2024-01-01,Calças,G,177.95,1,SP,Boleto,4.1
2024-01-01,Camisetas,G,52.12,1,SP,Cartão,4.3
2024-01-03,Calças,G,213.45,3,PR,Pix,3.9
2024-01-03,Camisetas,M,76.81,1,RJ,Pix,4.9
2024-01-03,Acessórios,M,132.39,2,RS,Pix,2.9
2024-01-04,Calças,M,155.12,1,SP,Pix,3.4
2024-01-04,Vestidos,G,227.84,1,SP,Cartão,4.2
2024-01-05,Camisetas,P,83.01,1,MG,Cartão,3.4
2024-01-05,Calçados,G,206.7,1,CE,Pix,3.8
2024-01-06,Camisetas,G,70.37,1,SC,Cartão,4.2
2024-01-08,Calçados,M,150.27,2,RJ,Cartão,3.3
2024-01-08,Vestidos,G,122.89,2,RS,Boleto,4.8
2024-01-09,Calçados,M,457.64,3,MG,Pix,5.0
2024-01-11,Camisetas,M,106.87,1,PE,Cartão,4.2
2024-01-12,Acessórios,M,90.3,1,MG,Pix,3.4
2024-01-15,Vestidos,M,301.7,2,PR,Boleto,4.2
2024-01-16,Calçados,M,144.51,3,SP,Pix,3.6
2024-01-16,Vestidos,M,390.43,2,RJ,Pix,4.7
2024-01-16,Acessórios,P,49.4,3,PR,Pix,3.2
2024-01-16,Camisetas,M,83.97,1,SP,Cartão,3.1
2024-01-18,Calças,P,191.19,2,SP,Pix,4.5
2024-01-19,Camisetas,M,87.05,3,SP,Cartão,4.1
2024-01-19,Camisetas,M,78.16,1,SP,Pix,4.4
2024-01-19,Camisetas,P,71.36,3,RS,Cartão,4.3
2024-01-19,Camisetas,M,92.93,3,SP,Cartão,5.0
2024-01-20,Calças,GG,83.58,2,MG,Boleto,3.9
2024-01-20,Vestidos,M,108.92,1,SP,Pix,4.3
2024-01-20,Camisetas,P,52.33,2,BA,Pix,4.4
2024-01-21,Calças,M,169.62,3,SP,Pix,3.1
2024-01-21,Vestidos,M,217.09,3,PR,Cartão,3.0
2024-01-21,Calças,M,209.81,2,SP,Boleto,3.3
2024-01-22,Vestidos,M,142.8,2,SP,Boleto,4.2
2024-01-23,Calçados,M,422.21,1,SP,Cartão,5.0
2024-01-24,Calçados,G,485.52,1,SP,Pix,4.6
2024-01-24,Vestidos,M,188.0,2,RJ,Cartão,3.4
2024-01-25,Camisetas,M,60.53,2,SC,Cartão,4.0
2024-01-26,Acessórios,M,51.58,3,SC,Cartão,3.8
2024-01-26,Vestidos,G,302.77,2,RJ,Pix,4.3
2024-01-26,Camisetas,M,95.3,1,BA,Boleto,4.6
2024-01-27,Camisetas,P,43.99,3,RJ,Pix,3.4
2024-01-27,Camisetas,P,51.8,1,BA,Cartão,4.6
2024-01-28,Camisetas,P,111.01,2,RJ,Pix,2.7
2024-01-28,Calças,M,165.96,2,SC,Pix,3.7
2024-02-01,Calçados,M,460.59,1,CE,Cartão,4.2
2024-02-03,Acessórios,M,82.4,3,SP,Cartão,4.1
2024-02-03,Vestidos,G,137.85,2,GO,Cartão,4.7
2024-02-04,Calças,P,221.65,2,SP,Boleto,2.2
2024-02-04,Calçados,G,327.63,1,SP,Pix,2.7
2024-02-05,Calças,M,145.06,3,CE,Pix,5.0
2024-02-06,Vestidos,M,271.49,2,SP,Pix,4.9
2024-02-07,Camisetas,M,73.99,1,SP,Cartão,4.9
2024-02-08,Acessórios,GG,73.77,3,RJ,Cartão,5.0
2024-02-09,Vestidos,G,191.86,1,SC,Boleto,4.2
2024-02-09,Calças,P,125.84,2,RJ,Boleto,4.1
2024-02-10,Calçados,M,214.52,1,RJ,Cartão,2.7
2024-02-10,Calças,P,124.88,3,RJ,Boleto,4.1
2024-02-11,Calçados,GG,466.4,3,RJ,Pix,4.7
2024-02-12,Calçados,M,386.38,2,RS,Cartão,4.7
2024-02-12,Calças,G,138.34,3,PR,Pix,4.4
2024-02-12,Camisetas,M,108.7,2,RJ,Cartão,3.9
2024-02-14,Calçados,P,298.07,1,SP,Pix,4.4
2024-02-15,Calças,P,176.79,3,MG,Cartão,3.7
2024-02-15,Acessórios,P,93.01,2,SP,Cartão,3.5
2024-02-16,Calçados,G,371.31,1,CE,Cartão,4.0
2024-02-17,Calças,GG,202.74,3,SC,Pix,4.2
2024-02-18,Camisetas,M,108.41,2,MG,Cartão,3.7
2024-02-18,Calças,G,103.51,1,GO,Cartão,4.5
2024-02-20,Acessórios,GG,38.57,2,RS,Boleto,3.7
2024-02-20,Camisetas,P,73.8,1,RS,Cartão,3.2
2024-02-21,Calças,P,197.24,3,SP,Cartão,3.8
2024-02-21,Calçados,M,328.48,1,PR,Cartão,3.1
2024-02-21,Camisetas,GG,67.14,3,RJ,Boleto,4.6
2024-02-21,Calças,M,109.27,2,SP,Pix,4.7
2024-02-22,Calçados,GG,485.9,1,MG,Pix,4.5
2024-02-22,Calças,G,102.91,3,SC,Pix,4.8
2024-02-22,Calças,P,151.46,2,SC,Cartão,4.0
2024-02-23,Calçados,M,125.77,1,RS,Cartão,4.9
2024-02-24,Vestidos,GG,300.99,3,RJ,Pix,3.9
2024-02-24,Camisetas,GG,100.6,3,MG,Cartão,3.7
2024-02-24,Camisetas,G,91.66,1,MG,Pix,3.5
2024-02-25,Camisetas,G,99.59,3,MG,Cartão,4.1
2024-02-26,Camisetas,M,58.19,2,RJ,Cartão,4.1
2024-02-27,Acessórios,P,78.18,1,PE,Pix,4.2
2024-02-27,Camisetas,G,87.91,2,CE,Pix,3.8
2024-02-27,Vestidos,G,255.75,3,MG,Cartão,4.4
2024-02-28,Camisetas,P,51.76,3,MG,Boleto,3.8
2024-03-02,Calças,P,203.24,1,SP,Pix,3.2
2024-03-04,Camisetas,G,43.22,2,MG,Pix,4.1
2024-03-04,Calças,G,204.39,3,SP,Boleto,3.6
2024-03-05,Camisetas,M,54.09,3,SP,Pix,3.9
2024-03-06,Vestidos,M,251.73,1,SP,Cartão,5.0
2024-03-07,Camisetas,M,94.45,2,PR,Cartão,4.4
2024-03-07,Acessórios,GG,24.57,3,SP,Cartão,4.2
2024-03-07,Calçados,M,428.63,2,BA,Pix,3.6
2024-03-08,Acessórios,G,68.76,3,MG,Cartão,3.9
2024-03-08,Calçados,P,160.17,1,MG,Cartão,2.9
2024-03-09,Camisetas,M,99.81,2,GO,Pix,4.7
2024-03-10,Calçados,M,160.31,1,CE,Pix,4.7
2024-03-10,Vestidos,P,122.69,3,MG,Boleto,3.9
2024-03-11,Acessórios,M,101.14,1,RJ,Cartão,3.7
2024-03-11,Calçados,G,160.49,1,PR,Pix,3.2
2024-03-11,Vestidos,G,196.03,1,RJ,Cartão,4.7
2024-03-12,Vestidos,GG,179.81,2,SP,Cartão,5.0
2024-03-12,Camisetas,P,66.62,2,SP,Cartão,3.8
2024-03-13,Acessórios,M,125.14,2,PR,Pix,4.3
2024-03-16,Camisetas,M,91.3,3,SP,Cartão,3.7
2024-03-16,Calças,M,137.97,1,RJ,Pix,2.9
2024-03-17,Vestidos,M,173.09,1,RS,Pix,4.4
2024-03-17,Calças,G,91.87,2,BA,Boleto,3.6
2024-03-17,Acessórios,P,65.34,3,SP,Cartão,4.5
2024-03-18,Camisetas,P,42.91,1,SC,Cartão,4.6
2024-03-18,Acessórios,M,21.43,3,RS,Cartão,3.7
2024-03-18,Acessórios,M,69.69,3,CE,Cartão,4.3
2024-03-19,Camisetas,G,111.11,3,SC,Pix,4.9
2024-03-20,Vestidos,G,308.62,1,PR,Pix,4.3
2024-03-21,Acessórios,G,55.81,1,SP,Cartão,4.2
2024-03-21,Calças,GG,175.2,3,PE,Boleto,3.6
2024-03-22,Vestidos,M,275.3,1,RS,Cartão,3.9
2024-03-24,Calças,GG,132.63,3,RS,Cartão,4.4
2024-03-25,Acessórios,P,21.95,1,SP,Pix,4.1
2024-03-25,Camisetas,G,65.86,2,SP,Cartão,4.2
2024-03-25,Vestidos,G,375.33,3,MG,Pix,4.2
2024-03-26,Calçados,G,313.3,1,BA,Cartão,3.9
2024-03-26,Calças,P,154.84,2,SP,Pix,4.1
2024-03-27,Calças,M,227.5,3,RJ,Pix,4.1
2024-03-27,Vestidos,GG,153.9,2,SP,Boleto,3.8
2024-03-28,Calças,G,92.46,3,PE,Pix,3.2
2024-03-28,Calças,M,132.65,3,SP,Cartão,3.5
2024-04-01,Calçados,P,157.91,3,MG,Pix,4.3
2024-04-01,Calças,M,237.25,2,PR,Boleto,2.9
2024-04-03,Vestidos,G,121.72,2,PE,Cartão,4.0
2024-04-04,Acessórios,P,101.39,1,BA,Cartão,3.7
2024-04-04,Vestidos,M,178.91,1,SP,Pix,3.7
2024-04-04,Calças,G,100.96,3,SP,Boleto,4.7
2024-04-05,Calças,M,181.98,2,BA,Pix,3.7
2024-04-05,Vestidos,P,191.92,3,RJ,Cartão,4.1
2024-04-06,Calças,G,111.14,1,RS,Pix,4.0
2024-04-06,Calçados,P,407.82,3,MG,Cartão,4.1
2024-04-07,Camisetas,GG,103.07,2,BA,Pix,5.0
2024-04-08,Acessórios,P,131.23,2,PE,Cartão,4.5
2024-04-08,Vestidos,M,376.6,3,BA,Boleto,2.9
2024-04-09,Camisetas,P,110.19,1,MG,Cartão,4.5
2024-04-09,Calças,G,219.54,2,MG,Boleto,4.3
2024-04-10,Vestidos,M,244.6,1,MG,Pix,4.4
2024-04-11,Calçados,M,316.69,3,RS,Pix,4.2
2024-04-11,Vestidos,P,345.1,1,SP,Cartão,3.3
2024-04-13,Acessórios,P,149.04,3,RS,Cartão,4.8
2024-04-13,Calçados,G,460.34,2,PR,Boleto,2.8
2024-04-13,Calçados,M,355.44,1,SP,Pix,4.0
2024-04-14,Acessórios,M,109.49,3,RJ,Boleto,4.2
