,data_pedido,categoria,preco_unitario,quantidade,regiao,canal_marketing,avaliacao,faturamento
0,2024-01-01,Acessórios,36.2,1,Sudeste,Instagram,3.3,36.2
1,2024-01-01,Acessórios,122.61,5,Sudeste,Orgânico,4.4,613.05
2,2024-01-02,Acessórios,151.19,4,Sul,Google Ads,4.6,604.76
3,2024-01-03,TVs,3399.16,2,Sudeste,Google Ads,4.1,6798.32
4,2024-01-04,Smartphones,3180.94,2,Nordeste,Instagram,3.9,6361.88
5,2024-01-04,TVs,2844.76,2,Sul,Orgânico,3.7,5689.52
6,2024-01-05,Áudio,849.65,4,Centro-Oeste,Google Ads,3.9,3398.6
7,2024-01-06,Áudio,276.95,4,Nordeste,Google Ads,3.9,1107.8
8,2024-01-08,Smartphones,1914.49,1,Nordeste,Orgânico,4.4,1914.49
9,2024-01-08,Áudio,440.52,5,Sudeste,Orgânico,5.0,2202.6
10,2024-01-08,Acessórios,249.35,5,Sul,Instagram,4.3,1246.75
11,2024-01-09,Áudio,677.96,1,Sudeste,Instagram,5.0,677.96
12,2024-01-09,Acessórios,95.41,4,Sudeste,Orgânico,4.2,381.64
13,2024-01-10,TVs,3191.5,2,Sudeste,Google Ads,4.2,6383.0
14,2024-01-11,Áudio,1008.84,3,Sul,Orgânico,4.0,3026.52
15,2024-01-13,Notebooks,5834.39,2,Sudeste,Orgânico,4.3,11668.78
16,2024-01-13,Smartphones,4782.76,2,Sudeste,Google Ads,3.9,9565.52
17,2024-01-13,Smartphones,2668.13,2,Sul,E-mail,4.1,5336.26
18,2024-01-13,Smartphones,2704.69,2,Norte,Google Ads,4.5,5409.38
19,2024-01-13,Acessórios,115.05,3,Sul,Instagram,4.0,345.15
20,2024-01-13,Smartphones,1699.13,1,Sul,Orgânico,3.8,1699.13
21,2024-01-14,Acessórios,56.6,4,Nordeste,Instagram,3.6,226.4
22,2024-01-15,Áudio,1357.65,1,Sul,Google Ads,4.3,1357.65
23,2024-01-15,Acessórios,241.21,4,Sudeste,Orgânico,3.4,964.84
24,2024-01-15,Acessórios,135.96,5,Sudeste,Orgânico,5.0,679.8000000000001
